Year,REF_AREA,"Agriculture, forestry, and fishing, value added (% of GDP)","Energy productivity, GDP per unit of TES","Industry (including construction), value added (% of GDP)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",Real GDP per capita,"Services, value added (% of GDP)"
2005,BRN,0.009698923015242078,9.359397243,0.549005441336917,1.846878768,11.18079525,0.24499997479308877
2012,BRN,0.0065301967774471035,8.89184714,0.5461287557090047,1.609437912,11.13732761,0.24904803261205222
2014,BRN,0.00859126417593307,8.919758098,0.5178983366610298,1.60341984,11.06320811,0.2839453659016665
2011,BRN,0.005711411792027662,8.871635846,0.5520006629026606,1.597365331,11.14356613,0.2418264978841671
2015,BRN,0.010971714014248412,9.184275618,0.4784849218131215,1.691939134,11.04625834,0.33239560845261273
2010,BRN,0.007306741628486494,9.013171538,0.5226752430957017,1.58514522,11.12462406,0.2814354304951035
2016,BRN,0.011964685825768987,9.061573507,0.4529170064055022,1.615419984,11.0085702,0.35750689037530586
2017,BRN,0.010805915231496231,8.883306058,0.46825578515579747,1.589235205,11.00966151,0.34253294834770376
2009,BRN,0.009751474448880481,9.050413375,0.5145914108807744,1.501852702,11.11795465,0.28978744809228446
2018,BRN,0.010124985897117602,8.881983516,0.49008084138906505,1.539015448,10.99861059,0.31727172081952043
2008,BRN,0.0068978172644793435,8.916131714,0.5677658106628386,1.53686722,11.15453033,0.22126576136969836
2019,BRN,0.009812253004028926,8.804284589,0.48560209687556033,1.625311262,11.02550903,0.32336961814024495
2007,BRN,0.007237173369820082,9.028959972,0.5504026565068302,1.595338988,11.19260573,0.24504824536624967
2020,BRN,0.012101509467843854,8.809713541,0.4645741041399611,1.383791231,11.02616673,0.3467786193561994
2013,BRN,0.006826024594207615,9.100642687,0.5307602652890853,1.605429891,11.10201395,0.2719023184193305
2021,BRN,0.01248464152576525,8.807591571,0.48674744158958594,1.378766095,11.00052894,0.3193888944442478
2006,BRN,0.007519085691148804,9.051148842,0.5591943345649977,1.5518088,11.2079468,0.23276702241791591
2014,IDN,0.1251933336747322,9.529927279,0.3501521111444438,1.876406943,9.191392999,0.3523609491296774
2015,IDN,0.12656783473592537,9.580808846,0.3368140524812294,1.905088155,9.237199417,0.35983351669170477
2018,IDN,0.12052148357178742,9.537990955,0.3345399244794418,1.905088155,9.353202721,0.3605014745234099
2009,IDN,0.14228179271001704,9.349192335,0.3896887979874347,1.818076778,8.975124239,0.315232037213218
2008,IDN,0.13524515092652883,9.380778264,0.3924524414072924,1.814824742,8.942475306,0.31814470155563573
2021,IDN,0.12469393671750353,9.563898664,0.3353631875678874,1.922787732,9.387506998,0.3564346592726841
2013,IDN,0.12536929111577821,9.527038381,0.3551234828451312,1.893111963,9.155652903,0.3472463970576278
2019,IDN,0.11967105400531278,9.533323466,0.3289566941209113,1.887069649,9.391814903,0.36617489675327236
2006,IDN,0.12198577133319989,9.269629514,0.38487837263950414,1.742219024,8.849043334,0.33706233747745024
2005,IDN,0.12333752399593777,9.239163953,0.38213546873099413,1.752672081,8.808795071,0.33884315591235203
2007,IDN,0.1285399331164332,9.341552828,0.38389508208258066,1.754403683,8.897315876,0.3327809708459217
2011,IDN,0.12674090146173134,9.391089026,0.3640417063899599,1.745715531,9.069951233,0.34063928668159504
2012,IDN,0.12552167455622212,9.448159705,0.3618179070030569,1.791759469,9.114980791,0.34269125054666033
2010,IDN,0.13040712831448734,9.36148425,0.3561058461332911,1.811562097,9.023566117,0.341218031074412
2020,IDN,0.12837926832110377,9.552468725,0.32380949935315473,1.928618652,9.36091323,0.3675101109316885
2016,IDN,0.12644539639792446,9.595326544,0.3315203103330871,1.962907725,9.274985137,0.36215215817732604
2017,IDN,0.12360278711410756,9.593163746,0.33202776600619116,1.960094784,9.313436526,0.3619593439699852
2016,KHM,0.17317974413517845,9.042320457,0.2856014807712288,1.906575144,8.157571052,0.34899091778096986
