REF_AREA,Year,Variable,Value,Log_Value
BRN,2005,"Energy productivity, GDP per unit of TES",11606.39,9.359397243
BRN,2006,"Energy productivity, GDP per unit of TES",8527.33,9.051148842
BRN,2007,"Energy productivity, GDP per unit of TES",8340.18,9.028959972
BRN,2008,"Energy productivity, GDP per unit of TES",7450.21,8.916131714
BRN,2009,"Energy productivity, GDP per unit of TES",8521.06,9.050413375
BRN,2010,"Energy productivity, GDP per unit of TES",8209.52,9.013171538
BRN,2011,"Energy productivity, GDP per unit of TES",7125.93,8.871635846
BRN,2012,"Energy productivity, GDP per unit of TES",7271.44,8.89184714
BRN,2013,"Energy productivity, GDP per unit of TES",8960.05,9.100642687
BRN,2014,"Energy productivity, GDP per unit of TES",7477.28,8.919758098
BRN,2015,"Energy productivity, GDP per unit of TES",9741.72,9.184275618
BRN,2016,"Energy productivity, GDP per unit of TES",8616.7,9.061573507
BRN,2017,"Energy productivity, GDP per unit of TES",7209.59,8.883306058
BRN,2018,"Energy productivity, GDP per unit of TES",7200.06,8.881983516
BRN,2019,"Energy productivity, GDP per unit of TES",6661.73,8.804284589
BRN,2020,"Energy productivity, GDP per unit of TES",6698,8.809713541
BRN,2021,"Energy productivity, GDP per unit of TES",6683.8,8.807591571
BRN,2005,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",5.34,1.846878768
BRN,2006,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.72,1.5518088
BRN,2007,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.93,1.595338988
BRN,2008,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.65,1.53686722
BRN,2009,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.49,1.501852702
BRN,2010,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.88,1.58514522
BRN,2011,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.94,1.597365331
BRN,2012,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",4,1.609437912
BRN,2013,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.98,1.605429891
BRN,2014,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.97,1.60341984
BRN,2015,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",4.43,1.691939134
BRN,2016,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",4.03,1.615419984
BRN,2017,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.9,1.589235205
BRN,2018,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",3.66,1.539015448
BRN,2019,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",4.08,1.625311262
BRN,2020,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2.99,1.383791231
BRN,2021,"Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",2.97,1.378766095
BRN,2005,Real GDP per capita,71738.39,11.18079525
BRN,2006,Real GDP per capita,73712.91,11.2079468
BRN,2007,Real GDP per capita,72590.69,11.19260573
BRN,2008,Real GDP per capita,69878.69,11.15453033
BRN,2009,Real GDP per capita,67368.97,11.11795465
BRN,2010,Real GDP per capita,67819.79,11.12462406
BRN,2011,Real GDP per capita,69116.7,11.14356613
BRN,2012,Real GDP per capita,68686.85,11.13732761
BRN,2013,Real GDP per capita,66303.56,11.10201395
BRN,2014,Real GDP per capita,63779.84,11.06320811
BRN,2015,Real GDP per capita,62707.88,11.04625834
BRN,2016,Real GDP per capita,60388.48,11.0085702
BRN,2017,Real GDP per capita,60454.42,11.00966151
BRN,2018,Real GDP per capita,59790.01,10.99861059
BRN,2019,Real GDP per capita,61420.12,11.02550903
BRN,2020,Real GDP per capita,61460.53,11.02616673
BRN,2021,Real GDP per capita,59904.82,11.00052894
BRN,2005,"Agriculture, forestry, and fishing, value added (% of GDP)",0.00974611,
BRN,2006,"Agriculture, forestry, and fishing, value added (% of GDP)",0.007547425,
BRN,2007,"Agriculture, forestry, and fishing, value added (% of GDP)",0.007263425,
BRN,2008,"Agriculture, forestry, and fishing, value added (% of GDP)",0.006921662,
BRN,2009,"Agriculture, forestry, and fishing, value added (% of GDP)",0.009799175,
BRN,2010,"Agriculture, forestry, and fishing, value added (% of GDP)",0.007333501,
BRN,2011,"Agriculture, forestry, and fishing, value added (% of GDP)",0.005727753,
BRN,2012,"Agriculture, forestry, and fishing, value added (% of GDP)",0.006551565,
BRN,2013,"Agriculture, forestry, and fishing, value added (% of GDP)",0.006849375,
BRN,2014,"Agriculture, forestry, and fishing, value added (% of GDP)",0.008628275,
BRN,2015,"Agriculture, forestry, and fishing, value added (% of GDP)",0.011032124,
BRN,2016,"Agriculture, forestry, and fishing, value added (% of GDP)",0.012036549,
BRN,2017,"Agriculture, forestry, and fishing, value added (% of GDP)",0.01086451,
BRN,2018,"Agriculture, forestry, and fishing, value added (% of GDP)",0.010176417,
BRN,2019,"Agriculture, forestry, and fishing, value added (% of GDP)",0.009860551,
BRN,2020,"Agriculture, forestry, and fishing, value added (% of GDP)",0.012175029,
BRN,2021,"Agriculture, forestry, and fishing, value added (% of GDP)",0.0125629,
BRN,2005,"Industry (including construction), value added (% of GDP)",0.731530053,
BRN,2006,"Industry (including construction), value added (% of GDP)",0.749262612,
BRN,2007,"Industry (including construction), value added (% of GDP)",0.733951064,
BRN,2008,"Industry (including construction), value added (% of GDP)",0.764320818,
BRN,2009,"Industry (including construction), value added (% of GDP)",0.672954811,
BRN,2010,"Industry (including construction), value added (% of GDP)",0.686533507,
BRN,2011,"Industry (including construction), value added (% of GDP)",0.736724144,
BRN,2012,"Industry (including construction), value added (% of GDP)",0.726556143,
BRN,2013,"Industry (including construction), value added (% of GDP)",0.700224439,
BRN,2014,"Industry (including construction), value added (% of GDP)",0.678496306,
BRN,2015,"Industry (including construction), value added (% of GDP)",0.613627777,
BRN,2016,"Industry (including construction), value added (% of GDP)",0.572893641,
BRN,2017,"Industry (including construction), value added (% of GDP)",0.597205892,
BRN,2018,"Industry (including construction), value added (% of GDP)",0.632448184,
BRN,2019,"Industry (including construction), value added (% of GDP)",0.625153214,
BRN,2020,"Industry (including construction), value added (% of GDP)",0.591336301,
BRN,2021,"Industry (including construction), value added (% of GDP)",0.627015641,
BRN,2005,"Services, value added (% of GDP)",0.277621281,
BRN,2006,"Services, value added (% of GDP)",0.262087407,
BRN,2007,"Services, value added (% of GDP)",0.277682954,
BRN,2008,"Services, value added (% of GDP)",0.247654965,
BRN,2009,"Services, value added (% of GDP)",0.336143458,
BRN,2010,"Services, value added (% of GDP)",0.325030437,
BRN,2011,"Services, value added (% of GDP)",0.273573206,
BRN,2012,"Services, value added (% of GDP)",0.282803648,
BRN,2013,"Services, value added (% of GDP)",0.312458792,
BRN,2014,"Services, value added (% of GDP)",0.328360355,
BRN,2015,"Services, value added (% of GDP)",0.394304338,
BRN,2016,"Services, value added (% of GDP)",0.429760418,
BRN,2017,"Services, value added (% of GDP)",0.408510761,
BRN,2018,"Services, value added (% of GDP)",0.373375696,
BRN,2019,"Services, value added (% of GDP)",0.381775986,
BRN,2020,"Services, value added (% of GDP)",0.414503547,
BRN,2021,"Services, value added (% of GDP)",0.376286451,
