REF_AREA,Reference area,MEASURE,Measure2,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,TIMELINESS,Timeliness3,OBS_VALUE
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2005,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",11606.39
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2006,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8527.33
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2007,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8340.18
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2008,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7450.21
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2009,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8521.06
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2010,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8209.52
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2011,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7125.93
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2012,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7271.44
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2013,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8960.05
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2014,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7477.28
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2015,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",9741.72
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2016,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",8616.7
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2017,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7209.59
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2018,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",7200.06
BRN,Brunei Darussalam,NRG_PROD,"Energy productivity, GDP per unit of TES",USD_TOE,US dollars per tonne of oil equivalent,_T,Total - all activities,2019,,A,Normal value,0,Units,Q,Constant prices,2015,1,"1 year lag, timely",6661.73
